epoch,accuracy,auc,f1_score,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.8516638278961182,0.8938708305358887,0.8516637086868286,0.0010000000474974513,0.03938430920243263,0.8516638278961182,0.8516638278961182,0.8981324434280396,0.9106467962265015,0.8981323838233948,0.02710164524614811,0.8981324434280396,0.8981324434280396
1,0.8858808279037476,0.9119206070899963,0.8858807682991028,0.0010000000474974513,0.026642372831702232,0.8858808279037476,0.8858808279037476,0.8913412690162659,0.9142902493476868,0.8913412094116211,0.14338332414627075,0.8913412690162659,0.8913412690162659
2,0.8918969631195068,0.916945219039917,0.8918969035148621,0.0010000000474974513,0.026315245777368546,0.8918969631195068,0.8918969631195068,0.8964346647262573,0.9294680953025818,0.8964346051216125,0.02012455463409424,0.8964346647262573,0.8964346647262573
3,0.8956570625305176,0.9239179491996765,0.8956570029258728,0.0010000000474974513,0.023348629474639893,0.8956570625305176,0.8956570625305176,0.8981324434280396,0.9283496141433716,0.8981323838233948,0.02161426655948162,0.8981324434280396,0.8981324434280396
4,0.8935890197753906,0.9316608309745789,0.8935889601707458,0.0010000000474974513,0.022910121828317642,0.8935890197753906,0.8935890197753906,0.8981324434280396,0.9253432750701904,0.8981323838233948,0.022507306188344955,0.8981324434280396,0.8981324434280396
5,0.8922730088233948,0.9286194443702698,0.89227294921875,0.0010000000474974513,0.023666588589549065,0.8922730088233948,0.8922730088233948,0.8947368264198303,0.9237492680549622,0.8947367668151855,0.11092785000801086,0.8947368264198303,0.8947368264198303
6,0.8956570625305176,0.931228756904602,0.8956570029258728,0.0010000000474974513,0.023202169686555862,0.8956570625305176,0.8956570625305176,0.8981324434280396,0.9204573631286621,0.8981323838233948,0.09707966446876526,0.8981324434280396,0.8981324434280396
7,0.8939650058746338,0.9295287132263184,0.893964946269989,0.0010000000474974513,0.024591702967882156,0.8939650058746338,0.8939650058746338,0.8930390477180481,0.9214258790016174,0.8930389881134033,0.040965355932712555,0.8930390477180481,0.8930390477180481
8,0.8977251648902893,0.9409682154655457,0.8977251052856445,0.0005000000237487257,0.02055261842906475,0.8977251648902893,0.8977251648902893,0.901528000831604,0.941248893737793,0.9015279412269592,0.04562925547361374,0.901528000831604,0.901528000831604
9,0.895469069480896,0.9436374306678772,0.8954690098762512,0.0005000000237487257,0.020726023241877556,0.895469069480896,0.895469069480896,0.8981324434280396,0.9426526427268982,0.8981323838233948,0.021261123940348625,0.8981324434280396,0.8981324434280396
